P_Id,Pattern
19334482,Solid
19283088,Solid
15630118,Printed
18747130,Solid
19266944,Striped
16396278,Printed
17268386,Solid
18302374,Self Design
19048840,Solid
19176852,Solid
19216672,Solid
19216798,Solid
14927426,Printed
17507882,Ribbed
12383500,Solid
16362076,Ribbed
19201920,Solid
16461758,Solid
19071780,Solid
16591608,Striped
15630044,Solid
17842686,Solid
19216882,Solid
16686906,Solid
18834992,Striped
17842650,Solid
17674466,Solid
17124268,Printed
18305296,Solid
16893052,Solid
18747182,Ribbed
17842774,Printed
19071720,Solid
16191476,Solid
17576130,Solid
16928316,Solid
19216892,Printed
16928404,Printed
17941484,Solid
17883630,Solid
18747132,Solid
18131678,Printed
18747106,Solid
16652184,Solid
19147756,Solid
18170658,Solid
18652038,Printed
14441598,Ribbed
18834976,Solid
18834994,Solid
15630126,Solid
18652028,Striped
16168314,Solid
19266960,Solid
17842652,Dyed
19174870,Solid
15960258,Solid
17810566,Solid
18302372,Solid
19266882,Solid
17759938,Printed
17185466,Solid
15846078,Checked
18131608,Solid
17155514,Solid
17810456,Solid
19071664,Solid
15790152,Solid
17883620,Solid
15823664,Checked
17894162,Self Design
16219034,Solid
19305208,Printed
17842776,Solid
19201936,Striped
18302376,Solid
18302434,Solid
19074168,Solid
16519162,Printed
15959952,Solid
17965024,Solid
17759988,Self Design
16395110,Solid
16175534,Solid
19174868,Solid
16395936,Solid
19202250,Solid
14258606,NA
19266888,Solid
16928312,Solid
18834544,Printed
17507856,Solid
17883650,Solid
19148242,Solid
18037684,Solid
16957520,Solid
16591612,Solid
17674672,Self Design
19148506,Solid
15846080,Printed
15698428,Solid
18132378,Solid
19049054,Self Design
15809018,Solid
19266852,Solid
15611528,Striped
18084482,Solid
17855308,Self Design
18305456,Solid
17575906,Printed
17465034,Solid
19148528,Self Design
18652012,Solid
18834764,Solid
18614236,Solid
16929834,Solid
18638276,Solid
12154040,Solid
16396394,NA
15821958,NA
19074138,NA
19175050,Solid
15611364,Solid
17982604,Solid
17507832,Solid
19176992,Solid
17507852,Printed
19283174,Self Design
17964932,Printed
17855178,Solid
19044530,Solid
14928772,Printed
18254994,Checked
15650888,Solid
17759892,Self Design
16928488,Solid
16395934,Solid
14979848,Solid
16219096,Solid
16928246,Checked
18747328,Printed
19202098,Printed
19071830,Printed
17784446,Solid
17185856,Solid
16046292,Solid
18084560,Printed
19283208,Self Design
18305286,Printed
15993138,Printed
11732030,Printed
16156354,Printed
11262450,Woven Design
15842408,Checked
9345959,Solid
16911758,Printed
14135274,Printed
7538235,Printed
15024094,Printed
15024092,Printed
13719006,Printed
15889862,Printed
10128417,Printed
16911760,Printed
16912088,Self Design
14135266,Printed
18690042,Embroidered
18690050,Printed
15519378,Printed
17911268,Printed
11327746,Printed
18135054,Printed
17126080,Printed
14668708,Printed
18647316,Striped
17276440,Striped
17552342,Printed
16189364,Printed
17414454,Solid
17482494,Solid
16316420,Solid
12551854,Striped
18802314,Solid
17044536,Printed
14182598,Solid
14182594,Printed
15771220,Striped
15863720,Printed
17212056,Self Design
16542192,Solid
15297358,Printed
12508586,Solid
2335364,Checked
17654774,Embroidered
17663134,Striped
17022192,Printed
14497998,Solid
17843132,Solid
14995524,Embroidered
15954108,Solid
14499100,Solid
17091906,Embroidered
16362862,Embroidered
16186496,Printed
17843142,Checked
14995522,Printed
16575886,Solid
15326614,Solid
16267612,Solid
17843136,Printed
14769234,Printed
15326588,Solid
13171980,Solid
14769612,Embellished
16186516,Embellished
16575898,Solid
17843138,Printed
15326040,Solid
8308167,Printed
15954078,Solid
16186514,Solid
16360978,Solid
15954074,Solid
14995520,Solid
16575910,Solid
8306319,Solid
16628358,Self Design
17157860,Printed
18839144,Printed
19029812,Solid
15942278,Printed
16187704,Printed
15202008,Printed
19229402,Printed
17158138,Printed
18536440,Solid
19029828,Printed
19029826,Printed
19029822,Printed
19029816,Printed
19029804,Printed
16163464,Solid
17640838,Solid
14170550,Printed
13706216,Printed
14346084,Printed
14224394,Printed
17320642,Solid
17411096,Solid
14346054,Solid
14924962,Solid
13770728,Solid
16877614,Solid
17933184,Solid
17317790,Solid
15595882,Striped
13770752,Striped
11900532,Solid
2320500,Solid
13068108,Embellished
12634096,Printed
13337668,Embroidered
19325338,Printed
19258882,Printed
15471926,Printed
15915954,Printed
14538486,Printed
17449506,Printed
8420329,Solid
16629334,Yoke Design
15983270,Solid
18102924,Printed
13437328,Embroidered
12105006,Printed
16630054,Solid
19284218,Printed
18274712,Yoke Design
16844328,Printed
17737450,Printed
17777400,Printed
17737422,Printed
18185482,Solid
13833262,Printed
19284212,Printed
16841876,Printed
13258070,Solid
13290414,Printed
17777396,Solid
9365713,Printed
16629336,Printed
15983248,Printed
16630078,Printed
19230502,Solid
16629332,Printed
14989762,Printed
16630116,Printed
15172956,Dyed
17223604,Printed
17777382,Printed
16874062,Printed
16630104,Printed
16844758,Printed
17241594,Embroidered
13609538,Embroidered
16848712,Checked
19014544,Printed
16844316,Printed
10561502,Printed
18308826,Printed
18539392,Printed
17551514,Embroidered
19383540,Printed
13257954,Printed
8350257,Printed
17334624,Striped
13833284,Embroidered
12775122,Solid
16871772,Printed
16871908,Printed
17948188,Printed
14448166,Printed
14695346,Printed
16871740,Printed
18272242,Printed
13258050,Printed
14469954,Printed
16871782,Printed
16871886,Printed
16629696,Printed
14470038,Printed
17299430,Printed
16841880,Printed
14597636,Solid
18207054,Printed
13833448,Printed
16629654,Printed
16844454,Printed
16872392,Printed
13829152,Solid
14494608,Printed
16844726,Printed
16874556,Printed
17535476,Printed
15249734,Printed
18255504,Printed
